filename,title,doi,year,journal,abstract,pages,size_mb,authors,citationCount
34.pdf,"A comprehensive review on anticorrosive/antifouling superhydrophobic coatings: Fabrication, assessment, applications, challenges and future perspectives",10.1016/j.cis.2024.103090,2024,Advances in Colloid and Interface Science,"Superhydrophobicity (SHP) is an incredible phenomenon of extreme water repellency of surfaces ubiquitous in nature (E.g. lotus leaves, butterfly wings, taro leaves, mosquito eyes, water-strider legs, etc). Historically, surface exhibiting water contact angle (WCA) > 150◦and contact angle hysteresis <10◦is considered as SHP. The SHP surfaces garnered considerable attention in recent years due to their applications in anti-corrosion, anti-fouling, self-cleaning, oil-water separation, viscous drag reduction, anti-icing, etc. As corrosion and marine biofouling are global problems, there has been f",41,34.14,T.P. Rasitha; Nanda Gopala Krishna; B. Anandkumar; S.C. Vanithakumari; John Philip,240
35.pdf,Osthole-infused polyurethane flexible coatings for enhanced underwater drag reduction and robust anti-biofouling,10.1016/j.porgcoat.2024.108213,2024,Progress in Organic Coatings,"Excessive underwater drag, coupled with a heavy marine fouling, not only adversely affects the operation and speed of ships but also leads to increased energy and fuel consumption. Inspired by the remarkable drag reduction and anti-biofouling capabilities of dolphin skin, we have developed a flexible polyurethane (PU) coating infused with osthole (OST). This coating not only exhibits exceptional drag reduction by postponing the boundary layer transition from laminar to turbulent flow but also demonstrates robust anti-biofouling properties under both dynamic and static scenarios. The resultant ",14,21.07,Yanru Qin; Shupeng Wang; Yong Fan; Li Wang; Chengchun Zhang; Jie Zhao; Luquan Ren,14
36.pdf,Rapid curing and self-stratifying lacquer coating with antifouling and anticorrosive properties,10.1016/j.cej.2021.129755,2021,Chemical Engineering Journal,"Natural lacquers have long been used as environment-friendly and renewable coatings. Generally, they dry slowly and do not have fouling resistance limiting their applications. Herein, we report a rapid curing, self- stratifying amphiphilic hybrid lacquer coating with excellent antifouling and anticorrosive properties. The coating was prepared by using a natural lacquer coupled with hyperbranched polysiloxane terminated by multi- amine (HPSi) and silane-terminated amphiphilic telomer (S-FP) through a facile sol–gel process. The introduc­ tion of HPSi greatly shortened the drying time and improv",11,5.18,Yuxian Chen; Guoliang Zhang; Guangzhao Zhang; Chunfeng Ma,69
37.pdf,Eco-friendly marine antifouling coating consisting of cellulose nanocrystals with bioinspired micromorphology,10.1016/j.carbpol.2022.120504,2023,Carbohydrate Polymers,"Nanomaterial-incorporated surfaces with microstructures have been widely used for marine antifouling coatings, yet limited green antifouling coatings are currently available for sustainable application, given the potential environmental effects of nanomaterial-based nanofillers. Here, by using natural sourced nanomaterials (cellulose nanocrystals, CNCs) as nanofillers, a nanocomposite superhydrophobic coating was fabricated via a simple sol- gel synthesis method. Notably, CNCs were firstly applied in the marine antifouling realm to form uniform and stable coatings, which were condensed with hy",9,8.37,Yanyi Duan; Jiangjiexing Wu; Wei Qi; Rongxin Su,38
38.pdf,"The integrated anti-corrosion and anti-biofouling coating with high mechanical strength: Design, preparation and performance study",10.1016/j.susmat.2024.e01214,2025,Sustainable Materials and Technologies,"Long-term marine engineering equipment and infrastructure service will inevitably encounter corrosion and biofouling issues. However, the design and development of the integrated anti-corrosion and anti-biofouling coatings still face challenges. In this work, two types of coatings are designed based on the principles of liquid perfusion on a porous layered double hydroxides (LDH) film. The paraffin coating on LDH film has a good self-cleaning property against sea water, dyed deionized water, and coffee. Due to the resin perfusion, the adhesion force of epoxy resin coating increases by 50.9 % c",15,26.61,Zhengyu Jin; Haixian Liu; Yile Chen; Zhi Wang; Lifang Wang; Jiaping Wang; Hongwei Liu,0
39.pdf,Biodegradable polyurethane based clay composite and their anti-biofouling properties,10.1016/j.colsurfa.2021.126946,2021,Colloids and Surfaces A: Physicochemical and Engineering Aspects,"The colonization of tiny marine organisms on ship’s hull which are connected directly from seawater, is a costly issue. Biofouling contributes to enhanced hydrodynamic drag, which leads to higher consumption of fuel and greenhouse gas emissions. Therefore, the environment-friendly solution is very necessary for anti-biofouling activity. For this purpose, we have synthesized biodegradable polyurethane (CL-PU) composed of ε-CL and 4,4′-methylenebis(cyclo­ hexyl isocyanate) (H12MDI) and 1,4 butanediol (1,4 BD). The synthesized CL-PU was further modified with 4, 5- dicholoro-2-octyl-isothiazolone ",11,5.02,Abid Ali; Yue Xiao; Lina Song; Jiankun Hu; Qingqing Rao; Muhammad Shoaib; Bilal Ul Amin; Xiaoli Zhan; Qinghua Zhang,14
4.pdf,Morphology regulation and application of nano cobalt oxide (Co3O4) electrocatalysts for chlorine evolution toward marine anti-biofouling,10.1016/j.jcis.2022.08.004,2022,Journal of Colloid and Interface Science,"For the optical equipment used in the marine environment, the quality and accuracy of the tests are easily affected by biological fouling. Hence, good anti-fouling performance is crucial for preserving the optical equipment. A new electrochemical chlorination anti-fouling system has been proposed for years and is suitable for underwater optical windows. In this paper, nano Co3O4 electrocatalysts with different mor- phologies were prepared through the hydrothermal method to study the structure–activity relationship between their electrochemical properties and morphologies. The nanourchin Co3O4 ",13,4.97,Haomin Wang; Jiang Li; Dun Zhang; Guoqing Wang; Peng Wang,26
40.pdf,Immobilization of Cu-MOF with SiO2 aerogel in a marine coating to enhance its long-term anti-biofouling performance,10.1016/j.mtchem.2025.102918,2025,Materials Today Chemistry,"Marine biofouling can cause economic, environmental and safety issues. Here the Cu-MOF/SiO2 aerogel@PDMS coatings were prepared to prevent the colonization of fouling organisms. The Cu-MOF-74 which can continu­ ously provide copper ions was successfully synthesized through a simple method. SiO2 aerogel was employed to immobilize Cu ions (Cu-MOF) by the formation of -Si-O-Cu-O-, thereby achieving the goal of more stable release of copper ions from the coating. And the improvement of coating hydrophobicity also helps to enhance the stability of MOFs. The Cu-MOF/SiO2 aerogel@PDMS coating exhibits",14,15.4,Liuqin Zhang; Huali Li; Gege Zhang; Qiuping Li; Fa-Qian Liu,5
41.pdf,"Self-healing, highly elastic and amphiphilic silicone-based polyurethane for antifouling coatings",10.1039/d0tb02465a,2021,Journal of Materials Chemistry B,,11,4.38,Xiaobin Lin; Qingyi Xie; Chunfeng Ma; Guangzhao Zhang,96
42.pdf,Amidoxime Group‐Anchored Single Cobalt Atoms for Anti‐Biofouling during Uranium Extraction from Seawater,10.1002/advs.202105008,2022,Advanced Science,,9,2.17,Wenyan Sun; Lijuan Feng; Jiacheng Zhang; Ke Lin; Hui Wang; Bingjie Yan; Tiantian Feng; Meng Cao; Tao Liu; Yihui Yuan,82
43.pdf,Transparent Polymer‐Ceramic Hybrid Antifouling Coating with Superior Mechanical Properties,10.1002/adfm.202011145,2021,Advanced Functional Materials,,7,1.92,Runze Chen; Yunsheng Zhang; Qingyi Xie; Zixin Chen; Chunfeng Ma; Guangzhao Zhang,140
44.pdf,"Self‐Reinforcing Gradient Antifouling Coating with High Adhesion, On‐Demand Peelability, and Superior Recyclability",10.1002/adfm.202508400,2025,Advanced Functional Materials,,10,6.05,Zhenqiang Zhang; Bin Zhang; Zhipeng Zhang; Qingyi Xie; Guoliang Zhang; Guangzhao Zhang; Chunfeng Ma,15
45.pdf,Self-repairing silicone coatings for marine anti-biofouling,10.1039/c7ta05241c,2017,Journal of Materials Chemistry A,,7,1.2,Chao Liu; Chunfeng Ma; Qingyi Xie; Guangzhao Zhang,222
46.pdf,Advanced nanostructures for the control of biofouling: The FP6 EU Integrated Project AMBIO,10.1116/1.2844718,2008,Biointerphases,"The AMBIO project (‘Advanced Nanostructured Surfaces for the Control of Biofouling’) is an Integrated Project funded by the European Commission under its 6th Framework Programme. The 5-year project, which started in 2005, is devoted to the knowledge- based development of antifouling coatings that function through their nanoscale properties, without the use of biocides or materials that are released into the environment. The principal knowledge-driven strategy of the project is to achieve structure/property/performance correlations for a wide range of nanostructured coating designs. State-of-th",17,1.3,Axel Rosenhahn; Thomas Ederth; Michala E. Pettitt,80
47.pdf,"Transparent superhydrophilic cellulose-based coating with anti-fogging, anti-biofouling and oil/water separation properties",10.1016/j.susmat.2025.e01278,2025,Sustainable Materials and Technologies,"It is a huge challenge to design multifunctional superhydrophilic coatings by bio-based raw materials and low carbon emissions in full life cycle. As a green, hydrophilic, low-cost material, cellulose has irreplaceable ad­ vantages in the preparation of sustainable superhydrophilic coatings. Here, a novel and large-scale transparent saxifrages-biomimetic superhydrophilic cellulose-based coating (SES) was fabricated by one-step method through blending semi-wet maleic anhydride esterified cellulose (EC) modified cellulose with waterborne styrene-acrylate latex (SAL) and sodium dodecyl sulfate (S",12,12.07,Yan Xu; Qingyu Wu; Dicong Yang; Biwei Qiu; Xiaoliang Mo; Bo You; Limin Wu,6
48.pdf,Biodegradable polymer as controlled release system of organic antifoulant to prevent marine biofouling,10.1016/j.porgcoat.2016.12.011,2017,Progress in Organic Coatings,"Controlled release of antifoulant is critical for marine antibiofouling. We have prepared polyurethane with degradable polyester segments consisting of poly(ethylene adipate) (PEA), poly(1,4-butylene adi- pate) (PBA) or poly(1,6-hexamethylene adipate) (PHA) and used it as the release system for organic antifoulants. The degradation rate of the polyurethane increases with the content of the degradable seg- ments. On the other hand, as the segments change from PEA, PBA to PHA, the degradation rate decreases because the crystallinity increases but the ester group density decreases. Such degradabl",6,1.05,Shanshan Chen; Chunfeng Ma; Guangzhao Zhang,61
49.pdf,Anti-fouling properties of microstructured surfaces bio-inspired by rice leaves and butterfly wings,10.1016/j.jcis.2013.12.019,2014,Journal of Colloid and Interface Science,"Material scientists often look to biology for new engineering solutions to materials science problems. For example, unique surface characteristics of rice leaves and butterﬂy wings combine the shark skin (antifouling) and lotus leaf (self-cleaning) effects, producing the so-called rice and butterﬂy wing effect. In this paper, we study antifouling properties of four microstructured surfaces inspired by rice leaves and fabricated with photolithography and hot embossing techniques. Anti-biofouling effectiveness is deter- mined with bioassays using Escherichia coli whilst inorganic fouling with si",20,8.78,Gregory D. Bixler; Andrew Theiss; Bharat Bhushan; Stephen C. Lee,237
5.pdf,Hazard of novel anti-fouling nanomaterials and biocides DCOIT and silver to marine organisms,10.1039/d0en00023j,2020,Environmental Science: Nano,,11,1.1,Joana Figueiredo; Susana Loureiro; Roberto Martins,33
50.pdf,Preparation and antifouling performance of tin-free self-polishing antifouling coatings based on side-chain suspended indole derivative structural resins,10.1016/j.marpolbul.2024.116931,2024,Marine Pollution Bulletin,"Tin-free self-polishing antifouling coatings have the highest market share since organotin self-polishing anti­ fouling coatings have been banned. However, its high dependence on cuprous oxide was found to have caused potential harm to the environment, making it necessary to improve the functionality of the resin. In this paper, a zinc acrylate resin with side chain hanging indole derivative structure was prepared by using N-(1H-5-bro­ moindole-3-methylene) (BIAM) with good biological activity as functional monomer. The functional resin with good antifouling performance was selected by antibac",10,5.71,Wenjian Dong; Chunhua Ni; Xia Li; Liangmin Yu; Xuefeng Yan,15
51.pdf,Graphene oxide/polyvinylpyrrolidone composite coating on 316L SS with superior antibacterial and anti-biofouling properties,10.1016/j.porgcoat.2021.106356,2021,Progress in Organic Coatings,"Here, we report the fabrication of a graphene oxide (GO)/polyvinylpyrrolidone (PVP) (GP) composite coating on 316L stainless steel (SS) with superior antibacterial and anti-biofouling performance using electrophoretic deposition (EPD). At an optimal EPD condition (10 V, 60 s), PVP and GO concentrations of 0.03 and 0.1 wt%, respectively, a uniform crack free coating with superior antibacterial and anti-biofouling properties is obtained. The morphology and composition of the composite coating were characterized by field emission scanning electron microscope (FESEM), X-ray photoelectron spectrosc",13,5.38,Geetisubhra Jena; S. Sofia; B. Anandkumar; S.C. Vanithakumari; R.P. George; John Philip,20
52.pdf,Mussel-inspired anti-biofouling and robust hybrid nanocomposite hydrogel for uranium extraction from seawater,10.1016/j.jhazmat.2019.120984,2020,Journal of Hazardous Materials,"A major challenge of uranium extraction from seawater (UES) is to eﬀectively block the biofouling without destroying the ecological balance, especially prevent the attachment of macroalgae on the surface of the ad- sorbent. Herein, a robust montmorillonite-polydopamine/polyacrylamide nanocomposite hydrogel is reported by a two-step method, including PDA intercalation MMT and further free radical polymerization with AM monomers. The interpenetrating structure of hydrogel lead to high water permeability with the swelling ratio of 51, which could fully facilitate the internal accessible sites exp",12,4.58,Zhenyuan Bai; Qi Liu; Hongsen Zhang; Jingyuan Liu; Rongrong Chen; Jing Yu; Rumin Li; Peili Liu; Jun Wang,106
53.pdf,Anti-biofouling potential of extremely water-repellent carbon soot coatings immersed in a highly-contaminated seawater swamp,10.1016/j.porgcoat.2023.107719,2023,Progress in Organic Coatings,"The undesired translocation of marine microorganisms during sailing and the excessive expenditures for ship hull repairment due to biofouling could be circumvented using superhydrophobic coatings. Unfortunately, the combined effect of underwater currents and colonizing activity of multitudinous foulants on the anti-microbial performance of existing non-wettable materials is still at infant stage. The paramount objective here is to evaluate for the first time the potential of two mechanically durable water-repellent soot coatings towards the inhibition of bacterial proliferation in “real-life” ",8,2.84,Karekin D. Esmeryan; Todor A. Chaushev,3
54.pdf,Progress in anti-biofouling materials and coatings for the marine environment,10.1016/j.jes.2025.05.038,2026,Journal of Environmental Sciences,,49,2.37,Xinzi Wang; Quantong Jiang; Dongxiao Han; Ye Chen; Wanpeng Liu; Yantong Pei; Jizhou Duan; Baorong Hou,14
55.pdf,Surface hydrolysis-anchored eugenol self-polishing marine antifouling coating,10.1016/j.jcis.2023.01.058,2023,Journal of Colloid and Interface Science,"Traditional self-polishing antifouling coatings kill surface organisms by releasing toxic substances, which are damaging to the ecosystem. As a natural antimicrobial substance, eugenol is environmentally friendly and has been proven by different research teams to be effective in enhancing the anti-fouling effect of coatings in the real sea. While in these previous research works, the eugenol was released directly into the seawater thus cannot further serve as surface antifouling effect, leading to a limited antifouling effect of the coating. In this work, the quaternary ammonium component was ",9,3.44,Jianang Sha; Xin liu; Rongrong Chen; Jing Yu; Qi Liu; Jingyuan Liu; Jiahui Zhu; Peili Liu; Rumin Li; Jun Wang,59
56.pdf,Underwater superoleophobic composite coating characteristic of durable antifouling and anticorrosion properties in marine environment,10.1016/j.colsurfa.2021.127323,2021,Colloids and Surfaces A: Physicochemical and Engineering Aspects,"Biofouling of marine vessels often results in low fuel efficiency and severe hull corrosion, an ecological friendly coating with long durability and high Benefit-cost is greatly desired to prevent biofouling and bioadhesion. Herein, a facile “Glue + Powder” strategy was employed to synthesize a composite coating with satisfactory oil-repellent and anti­ corrosion properties, in which the hexadecyl-trimethoxysilane modified SiO2 nanoparticles (NPs) act as super­ hydrophobic undercoating and polyacrylic acid modified ZnO NPs implanted in polydimethylsiloxane as superoleophobic finishing coat. Im",14,13.23,Xian Chao Xia; Xiang Kang Cao; Guang Yi Cai; Dan Jiang; Fei Zhang; Ze Hua Dong,49
57.pdf,Nature-inspired anti-fouling strategies for combating marine biofouling,10.1016/j.porgcoat.2024.108349,2024,Progress in Organic Coatings,"Marine biofouling is a major international challenge, which causes significant problems for global ecologies and economies. It manifests as the extensive and costly colonization of submerged surfaces with marine organisms, and it additionally results in the transportation of invasive, destructive, species around the globe. Effective, passive, antifouling treatments have been elusive - so far, only toxic treatments have been effective. To-date, long-term effective anti-fouling coatings are non-passive. These systems rely primarily on exfoliating surface layers (self-polishing) which continually",28,20.39,Abid Ali; David Culliton; Shah Fahad; Zafar Ali; En-Tang Kang; Liqun Xu,32
58.pdf,"Simultaneous realization of antifouling, self-healing, and strong substrate adhesion via a bioinspired self-stratification strategy",10.1016/j.cej.2022.137875,2022,Chemical Engineering Journal,"Antifouling ability and substrate adhesion are typical trade-offs seen for a silicone coating. Furthermore, the self- healable inability limits their duration. This study reports a bioinspired self-stratifying coating composed of a polyurethane with dopamine and silane pedant groups and a bi-silanol-terminated poly(dimethylsiloxane) with fluorocarbon and poly(ethylene glycol) segments as a reactive amphiphilic polymer (RAP). During coating for­ mation, the RAP with low surface energy can be enriched on the surface due to the self-stratifying effects, whereas the bioinspired dopamine and silane",9,4.66,Peng Hu; Ru Xie; Qingyi Xie; Chunfeng Ma; Guangzhao Zhang,79
59.pdf,Effects of hydrolyzable comonomer and cross-linking on anti-biofouling terpolymer coatings,10.1016/j.polymer.2013.04.010,2013,Polymer,"Antifouling coatings based on the cross-linked terpolymer chains made of methyl methacrylate (MMA), the hydrolyzable tributylsilyl methacrylate (TBSM) or triisopropylsilyl methacrylate (TIPSM) and acrylic acid (AA) were developed. By varying the hydrolyzable monomer content and the cross-linking degree, a set of such prepared coatings were evaluated in terms of their degradation rate, swelling degree, contact angle and antifouling properties. After immersed in seawater, such coatings quickly self-generate a thin and swollen hydrogel layer at the water-contacting surface due to the hydrolysis o",7,1.31,Fei Hong; Laiyong Xie; Chuanxin He; Jianhong Liu; Guangzhao Zhang; Chi Wu,27
6.pdf,"Self‐Adaptive Zwitterionic Polysilazane Coatings with Mechanical Robustness, High Transparency, and Broad‐Spectrum Antiadhesion Properties",10.1002/adma.202413035,2024,Advanced Materials,,10,8.13,Yinjie Huang; Zhenqiang Zhang; Bin Zhang; Chunfeng Ma; Guangzhao Zhang,29
60.pdf,A catfish Skin-inspired dual-antifouling epoxy thermoset as coatings for marine antifouling applications,10.1016/j.cej.2024.159057,2025,Chemical Engineering Journal,"Simultaneously endowing marine coatings with excellent intrinsic bactericidal and anti-adhesion properties is a subject of great practical significance and challenge. Inspired by the dual-antifouling effect of catfish, we developed epoxy thermoset as marine antifouling coatings with contact sterilization and anti-adhesion capa­ bilities. Here, a dual-antifouling epoxy thermoset can be conveniently obtained by using bisphenol A diglycidyl ether (DGEBA) as the matrix resin, 1,3-diamino-2-hydroxypropane (DAHP) as the antibacterial curing agent, and polyethylene glycol dicarboxylate diglycidyl eth",11,11.06,Peizhan Cao; Shu Tian; Jinyue Dai; Jiayin Li; Guangming Lu; Xiaoqing Liu,34
61.pdf,"Latest research progress of marine microbiological corrosion and bio-fouling, and new approaches of marine anti-corrosion and anti-fouling",10.1016/j.bioactmat.2019.04.003,2019,Bioactive Materials,"Marine resources and industry have become one of the most important pillars in economic development all over the world. However, corrosion of materials is always the most serious problem to the infrastructure and equipment served in marine environment. Researchers have found that microbiologically influenced corrosion (MIC) and marine bio-fouling are two main mechanisms of marine corrosions due to the complicated marine environment and marine organisms. This article summarized the latest research progress about these two me- chanisms and indicated that both MIC and marine bio-fouling are close",7,2.59,Yangfan Li; Chengyun Ning,146
62.pdf,Anti-biofouling materials and surfaces based on mussel-inspired chemistry,10.1039/d1ma00053e,2021,Materials Advances,,15,8.72,Sijia Li; Jingsi Chen; Jingyi Wang; Hongbo Zeng,37
63.pdf,Anti-biofouling marine diterpenoids from Okinawan soft corals,10.1080/08927014.2024.2443029,2025,Biofouling,,11,1.68,Shinnosuke Ishigami; Ryoma Nakagawa; Fumiya Yagi; Hikaru Takada; Ayano Suzuki; Takashi Kamada; Kazumi Nimura; Iori Oshima; Chin-Soon Phan; Takahiro Ishii,8
64.pdf,<i>P. pavoninus</i>‐Inspired Smart Slips Marine Antifouling Coating Based on Coumarin: Antifouling Durability and Adaptive Adjustability of Lubrication,10.1002/adfm.202310702,2023,Advanced Functional Materials,,10,9.61,Zheming Tong; Hongyu Guo; Zhigang Di; Sifan Chen; Lina Song; Jiankun Hu; Yang Hou; Xiaoli Zhan; Qinghua Zhang,74
65.pdf,"!""#$%&'()*+,-./01",,,,,13,3.18,,
66.pdf,Natural Product <i>Zanthoxylum bungeanum</i> Based Multi‐Functionalized Self‐Polishing Interface for Sustainable Marine Antifouling,10.1002/admi.202201195,2022,Advanced Materials Interfaces,,12,2.34,Li Sun; Wei‐Feng Wang; Mouji Li; Jianbin Zhang; Tian Chai; Wenhao Cao; Tao Yan; Xiaoduo Zhao; Wufang Yang; Bo Yu,11
67.pdf,rsc.li/soft-matter-journal,,2019,,,22,7.58,,
68.pdf,Stimuli-responsive composite coating based on dynamic metal-ligand interactions for sustainable marine antifouling,10.1016/j.susmat.2025.e01521,2025,Sustainable Materials and Technologies,"While copper-based antifoulants represent effective solutions for marine biofouling prevention, their utilization efficiency remains a critical challenge. This investigation demonstrates a pH-responsive hydrogel composite through synergistic integration of poly(acrylic acid) networks with histidine-coordinated cupric nanoclusters. The main ligand configuration of histidine and Cu2+ was identified as “imidazole-dominated and carboxyl- assisted” by density functional theory (DFT) simulation, which provides theoretical support for the pH sensitivity of hydrogel. This coating releases Cu2+ precise",12,20.89,Qianyun Tan; Gege Zhang; Xiaoyu Xu; Tiantian Hu; Yabei Zhang; Xu Zhang; Zhongyao Zhang; Fa-Qian Liu,1
69.pdf,High-strength and anti-biofouling nanofiber membranes for enhanced uranium recovery from seawater and wastewater,10.1016/j.jhazmat.2022.128983,2022,Journal of Hazardous Materials,"Ultrathin fibers can increase the contact area between adsorbents and seawater during the uranium extraction process; however, their construction usually aggravates the complex spinning technology and lowers their me­ chanical strength. Meanwhile, high strength and antifouling ability are essential for ocean adsorbents to with­ stand the complex natural environment and microbial systems. Herein, we design high-strength and anti- biofouling poly(amidoxime) nanofiber membranes (HA-PAO NFMs) via a supramolecular crosslinking. Bacte­ rial cellulose supplies the NFMs with ultrathin fiber structure,",10,7.8,Se Shi; Rui Wu; Shenli Meng; Guoping Xiao; Chunxin Ma; Guocheng Yang; Ning Wang,73
7.pdf,Polysiloxane-Based Block Copolymers with Marine Bacterial Anti-Adhesion Properties,10.1021/acsami.5b04234,2015,ACS Applied Materials & Interfaces,"Di- and triblock copolymers based on tert- butyldimethylsilyl methacrylate (MASi) and poly- (dimethylsiloxane) (PDMS) macro-RAFT agents were synthe- sized resulting in copolymers with predictable molar masses and low dispersities (Đ < 1.2). The block copolymers exhibited two glass transition temperatures, corresponding to the PDMS- and poly(tert-butyldimethylsilyl methacrylate) (PMASi)-enriched phases, respectively. Contact angle measurements revealed the inﬂuence of the copolymer composition on their surface free energy, with block copolymers exhibiting surface free energies as low as 15.0 mJ",9,4.53,The Hy Duong; Jean-François Briand; André Margaillan; Christine Bressy,50
70.pdf,Engineering a hard sol-gel adaptive coating with nonleaching antifoulant against marine biofouling in static conditions,10.1016/j.porgcoat.2024.108402,2024,Progress in Organic Coatings,"Covalently tethered, nonleaching antifoulant groups to surface or coating matrix are being explored as an eco­ friendly option to develop a robust antifouling coating with enhanced static antifouling ability. And most of marine antifouling coatings usually have a relatively low coating hardness owing to intrinsically polymeric property. In this work, we exploited the self-assembly of random zwitterionic amphiphilic copolymers with an isothiazolinone-based antifoulant to develop a scalable hard (> 6H pencil hardness) coating against marine biofouling under static conditions. Upon exposure to aq",9,6.88,Yihan Sun; Yuanyuan Shen; Haibin Zhao; Peng Wang,6
71.pdf,Rapid fabrication of zwitterionic coating on 316L stainless steel surface for marine biofouling resistance,10.1016/j.porgcoat.2021.106552,2021,Progress in Organic Coatings,"Zwitterionic polymers are considered as nontoxic fouling-resistant materials, and have been widely studied in recent years. However, the immobilization of zwitterionic polymers on metal surfaces still suffers from the complicated and time-consuming procedures. In this work, a zwitterionic polydopamine/poly(sulfobetaine methacrylate) (PDA/PSB) coating on 316L stainless steel surface was fabricated by simply immersing in a mixed solution of dopamine, sulfobetaine methacrylate (SB) and oxidants for 30 mins. The anti-fouling performance of PDA/PSB coating was evaluated in terms of organic molecule",8,5.19,Shiqiang Chen; Jiashun Shi; Yudi Zhao; Weigang Wang; Huimin Liao; Guangzhou Liu,20
72.pdf,Biodegradable poly(ester)-poly(methyl methacrylate) copolymer for marine anti-biofouling,10.1016/j.porgcoat.2018.08.003,2018,Progress in Organic Coatings,"Being biodegradable and eco-friendly, polyesters are promising in marine anti-biofouling. However, the slow degradation and poor adhesion limit their applications. In the present work, we have prepared poly(ester)-poly (methyl methacrylate) copolymer via radical ring-opening copolymerization of 2-methylene-1,3-dioxepane (MDO) and methyl methacrylate (MMA). The copolymer coating has good adhesion to substrate due to the incorporation of MMA moieties. The main-chain ester bonds from MDO enable the copolymer to enzymatically and hydrolytically degrade, and the degradation rate increases with the ",6,1.39,Guoxiong Dai; Qingyi Xie; Shanshan Chen; Chunfeng Ma; Guangzhao Zhang,50
73.pdf,Biodegradable polymers for marine antibiofouling: Poly(&epsi;-caprolactone)/poly(butylene succinate) blend as controlled release system of organic antifoulant,10.1016/j.polymer.2016.03.017,2016,Polymer,"Polymer carrier is critical for the controlled release of antifoulant in marine anti-biofouling. We have prepared biodegradable polymer blend consisting of poly(ε-caprolactone) (PCL) and poly(butylene suc- cinate) (PBS) and used it as carrier of organic antifoulant (4,5-dichloro-2-octyl-isothiazolone). Polarizing optical microscope (POM) and differential scanning calorimetry (DSC) measurements show that the spherulite size of PCL decreases and its crystallinity slightly varies as PBS fraction increases leading the interfacial regions between PCL and PBS spherulites to increase in the total are",7,3.02,Shanshan Chen; Chunfeng Ma; Guangzhao Zhang,51
74.pdf,Green biolubricant infused slippery surfaces to combat marine biofouling,10.1016/j.jcis.2020.02.049,2020,Journal of Colloid and Interface Science,"Hypothesis: Marine biofouling is a global, longstanding problem for maritime industries and coastal areas arising from the attachment of fouling organisms onto solid immersed surfaces. Slippery Liquid Infused Porous Surfaces (SLIPS) have recently shown promising capacity to combat marine biofouling. In most SLIPS coatings, the lubricant is a silicone/ﬂuorinated-based synthetic component that may not be fully compatible with the marine life. We hypothesized that eco-friendly biolubricants could be used to replace synthetic lubricants in SLIPS for marine anti-fouling. Experiments: We developed S",13,2.78,Snehasish Basu; Bui My Hanh; J.Q. Isaiah Chua; Dan Daniel; Muhammad Hafiz Ismail; Manon Marchioro; Shahrouz Amini; Scott A. Rice; Ali Miserez,97
75.pdf,Refreshable self-polishing superhydrophobic coating on Mg alloy to prohibit corrosion and biofouling in marine environment,10.1016/j.colsurfa.2022.129693,2022,Colloids and Surfaces A: Physicochemical and Engineering Aspects,"Corrosion susceptibility is a critical obstacle for Mg alloy usage in harsh environments. Bioinspired super­ hydrophobic surface (SHS) affords a new way to combat corrosion. However, problems, e.g., water vapor condensation and air dissolution, ceaselessly hurdle practical usage of SHS for long-term corrosion inhibition. In this report, targeting the corrosion inhibition of Mg alloy in seawater, a refreshable self-polishing super­ hydrophobic coating is bound onto AZ31 Mg alloy bridging via a ceramic/paraffin buffer layer to solve the two problems encountered by traditional SHS. Firstly, the l",13,16.41,Bingzhi Li; Li Wang; Yan Su; Ri Qiu; Zhaoqi Zhang; Yibo Ouyang,15
76.pdf,Fabrication of zwitterionic polymer-functionalized MXene nanosheets for anti-bacterial and anti-biofouling applications,10.1016/j.porgcoat.2023.107727,2023,Progress in Organic Coatings,"Marine biological pollution is a worldwide problem that poses a significant challenge in marine engineering. MXene nanosheets and zwitterionic polymers are promising materials for marine anti-biofouling and have attracted much attention. Herein, we self-assembled the polydopamine layer on the surface of MXene nanosheets (MXene-PDA), and then introduced the zwitterionic polymer (PEIS) by Michael addition reaction onto the PDA layer to obtain the zwitterionic polymer-functionalized MXene nanosheets (MXene-PEIS). The as-prepared MXene-PEIS exhibits excellent antifouling performance through the co",8,4.86,Yixin Zeng; Peng Wang; Baoluo He; Shujuan Liu; Qian Ye; Feng Zhou,28
77.pdf,Impacts of different characteristics of marine biofouling on ship resistance,10.1016/j.oceaneng.2023.114415,2023,Ocean Engineering,"Ship resistance research on marine biofouling is an old but hot topic which invokes plenty of studies recently. Previous studies on the surface roughness of ship hulls mainly focus on the height of micro-organisms or macro- organisms adhered to ship hulls without considering other components which may indeed play an important role in generating additional resistance. Many authors attempt to use a single parameter, for example, height of the biofoulers, to describe the hull roughness. Our research indicate that any single factor affecting ship hull roughness can not completely reflect the compo",9,5.39,Youjia Zou; Xixi Zhou; Lixiong Chen; Xiangying Xi,25
